Group_no,Group,Violation_no,Infraction_and_Description,Intervention_Consequence_Option_1,Intervention_Consequence_Option_2,Intervention_Consequence_Option_3,Intervention_Consequence_Option_4,Intervention_Consequence_Option_5,Intervention_Consequence_Option_6,Intervention_Consequence_Option_7
5,Most Seriously Disruptive Behavior,4,"Use of intimidation, credible threats of violence, coercion, or persistent severe bullying. Intimidation is behavior that prevents or discourages another student from exercising his/her right to education, or using force against students, school personnel and school visitors. For severe bullying, see the Anti-Bullying Policy before assigning an intervention or consequence.","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,5,[this code intentionally left blank],"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,6,Gang activity or overt displays of gang affiliation.,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,7,"Inappropriate sexual conduct, including unwelcomed sexual contact, indecent exposure, transmitting sexually suggestive images through information technology devices, or other sexual activities which do not involve the use of force","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,8,Engaging in or attempting any illegal behavior which interferes with the school’s educational process,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,9,"Persistent or severe acts of sexual harassment – unwelcome sexual or gender-based conduct (either physical or verbal) and/or conduct of a sexual nature which is sufficiently severe, persistent, or pervasive to limit a student’s ability to participate in or benefit from the educational program or which creates a hostile or abusive school environment","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,10,False activation of a fire alarm which causes a school facility to be evacuated or causes emergency services to be notified,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,11,"Second or repeated violation of Behavior 4-13, possession of any dangerous object as defined by this SCC","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,12,"Battery, or aiding or abetting in the commission of a battery, which results in a physical injury. Battery means unwanted bodily contact with another person without legal justification.","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,13,[this code intentionally left blank],"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,14,"Use of any computer, including social networking websites, or use of any information technology device to threaten, stalk, harass, bully or otherwise intimidate others. Or, hacking (intentionally gaining access by illegal means or without authorization) into the CPS network to access student records or other unauthorized information, or to otherwise circumvent the information security system","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,15,Vandalism (willful or malicious destruction or defacing of property) or criminal damage to property that results in damage exceeding $500 or that is done to personal property belonging to any school personnel,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,16,Inappropriate consensual sexual activity,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,17,"Use or possession of illegal drugs, narcotics, controlled substances, “look-alikes” of such substances, or contraband , or use of any other substance for the purpose of intoxication in or before school or a school-related function","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,18,"Second or repeated violation of Behavior 4-14, use or possession of alcohol in school or at, before or after a school-related function","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,19,"Participating in a mob action – a large or disorderly group of students using force to cause injury to a person or property, or persisting in severe disruption after being directed to cease by school personnel or Police","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
6,Illegal and Most Seriously Disruptive Behavior,1,"Use, possession, and/or concealment of a firear/destructive device or other weapon or “look-alikes” of weapons as defined in the Reference Guide, or use or intent to use any other object to inflict bodily harm","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,2,Intentionally causing or attempting to cause all or a portion of the CPS network to become inoperable,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,3,"Arson – knowingly damaging, by means of fire or explosive, a building and/or the personal property of others","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,4,"Bomb threat – false indication that a bomb, or other explosive of any nature, is concealed in a place that would endanger human life if activated","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,5,Robbery – taking personal property in the possession of another by use of force or by threatening the imminent use of force,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,6,"Sale, distribution, or intent to sell or distribute alcohol, illegal drugs, narcotics, controlled substances, “look-alikes of such substances, contraband, or any other substance used for the purpose of intoxication, or repeated violation of Behavior 5-17","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,7,Sex acts which include the use of force,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,8,"Aggravated battery (battery that causes great harm, is done with a deadly weapon, is done by a person who conceals his/her identity, or the use of physical force against school personnel) or aiding and abetting in the commission of an aggravated battery","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,9,Murder – killing an individual without legal justification,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,10,Attempted murder – an act that constitutes a substantial step toward intended commission of murder,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,11,Kidnapping – secret confinement of another against his/her will or transportation of another by force or deceit from one place to another with the intent to secretly confine,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"
6,Illegal and Most Seriously Disruptive Behavior,12,"Theft (obtaining or exerting unauthorized control over) or possession (physical control over, including in clothing, lockers, or bags) of stolen property that costs more than $1,000","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","For students in sixth through twelfth grades, or for any student violating section 6-1, request for expulsion hearing","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"Request for disciplinary reassignment to another Network school, or to an alternative school program for a set term","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely"